City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
79,Albany,42.6001,-73.9662,15.37,62,100,1.57,US,1696973401
80,Carauari,-4.8828,-66.8958,33.6,34,82,0.74,BR,1696973538
81,Newport,51.5877,-2.9984,16.73,89,100,6.8,GB,1696973510
82,Sājir,25.1825,44.5996,26.78,16,0,4.51,SA,1696973538
83,Trairi,-3.2778,-39.2689,25.91,76,0,5.99,BR,1696973507
84,Poirino,44.9208,7.8469,21.08,75,60,1.54,IT,1696973539
85,Mrkonjić Grad,44.4158,17.0861,13.2,90,66,1.45,BA,1696973539
86,Sur,22.5667,59.5289,28.69,60,0,4.08,OM,1696973539
87,Omutninsk,58.67,52.1932,3.32,97,100,1.19,RU,1696973540
88,Hermanus,-34.4187,19.2345,14.54,89,7,4.68,ZA,1696973540
89,Taroa,8.7058,171.2275,28.16,78,95,6.8,MH,1696973540
90,Belyy Yar,53.6039,91.3903,2.94,100,56,0.0,RU,1696973541
91,Surab,28.4914,66.2585,16.78,22,0,2.95,PK,1696973541
92,Ugoofaaru,5.6667,73.0,27.29,79,97,4.45,MV,1696973541
93,Diano Marina,43.9103,8.0793,22.24,92,40,1.08,IT,1696973542
94,Isafjordur,66.0755,-23.124,1.69,93,100,13.45,IS,1696973542
95,Kourou,5.1552,-52.6478,30.03,75,0,4.25,GF,1696973542
96,Enewetak,11.3474,162.3373,28.87,75,85,7.31,MH,1696973543
97,Gobabis,-22.45,18.9667,23.11,16,100,2.05,NA,1696973543
98,Tiksi,71.6872,128.8694,-12.8,99,64,0.96,RU,1696973543
99,Benguela,-12.5763,13.4055,23.09,85,91,1.57,AO,1696973543
100,Kainantu,-6.2887,145.8655,19.6,85,31,0.87,PG,1696973544
101,Mauá,-23.6678,-46.4614,19.89,90,84,3.78,BR,1696973513
102,George Town,5.4112,100.3354,26.68,94,40,1.54,MY,1696973413
103,Papatowai,-46.5619,169.4708,9.37,53,78,6.97,NZ,1696973545
104,Heilbron,-27.2812,27.9709,19.26,56,94,2.47,ZA,1696973545
105,Kayangel,8.0823,134.7173,28.03,82,100,11.53,PW,1696973545
106,Jianshui,23.6363,102.8264,14.35,96,90,1.38,CN,1696973546
107,New Norfolk,-42.7826,147.0587,11.07,62,90,1.28,AU,1696973547
108,Palikir,6.9248,158.1611,28.47,84,40,4.12,FM,1696973547
109,Wailua Homesteads,22.0669,-159.378,28.24,73,20,4.63,US,1696973548
110,Danville,36.586,-79.395,24.05,48,0,4.63,US,1696973369
111,Karungdong,5.8844,121.263,26.24,83,100,2.8,PH,1696973548
112,San Patricio,28.017,-97.5169,22.69,88,100,3.24,US,1696973549
113,Cologne,50.9333,6.95,21.05,72,0,3.6,DE,1696973549
114,Fortaleza,-3.7227,-38.5247,27.34,78,40,5.66,BR,1696973549
115,Vilyuchinsk,52.9306,158.4028,3.29,70,13,3.48,RU,1696973550
116,Isabela,6.7085,121.9711,24.03,88,100,2.9,PH,1696973550
117,Severo-Yeniseyskiy,60.3725,93.0408,8.1,92,100,3.58,RU,1696973551
118,Old Orchard Beach,43.5173,-70.3775,13.63,78,100,5.66,US,1696973552
119,Mulanje,-16.0316,35.5,23.33,51,5,1.81,MW,1696973552
120,Anandpur,31.25,76.5,20.47,48,0,2.47,IN,1696973552
121,El Bolsón,-41.9667,-71.5167,7.93,69,39,2.15,AR,1696973553
122,College,64.8569,-147.8028,-1.03,89,100,3.6,US,1696973553
123,Torghay,49.6339,63.4981,6.83,57,31,3.87,KZ,1696973553
124,Arkhangelsk,64.5401,40.5433,0.07,91,19,2.64,RU,1696973352
125,Tame,6.461,-71.73,25.74,83,99,1.28,CO,1696973554
126,Tralee,52.2704,-9.7026,14.9,95,100,2.59,IE,1696973554
127,Natal,-5.795,-35.2094,26.36,83,40,4.63,BR,1696973444
128,Tarawa,1.419,172.984,31.05,74,75,2.06,KI,1696973555
129,Huanren,41.2647,125.3667,7.08,72,20,0.76,CN,1696973555
130,Tiquipaya,-17.3382,-66.2189,30.4,22,20,4.63,BO,1696973556
131,Chamdo,31.1667,97.2333,-0.21,81,65,2.42,CN,1696973556
132,Dudinka,69.4058,86.1778,4.82,90,100,6.71,RU,1696973556
133,Ancud,-41.8697,-73.8203,9.31,56,81,4.27,CL,1696973556
134,Brisas de Zicatela,15.8369,-97.0419,31.29,48,20,1.54,MX,1696973557
135,Exu,-7.5119,-39.7242,26.87,28,15,1.75,BR,1696973557
136,Brak,27.5496,14.2714,25.07,31,86,6.35,LY,1696973557
137,Saint-Philippe,-21.3585,55.7679,21.77,67,52,1.26,RE,1696973558
138,Mörön,49.6342,100.1625,4.49,67,7,0.17,MN,1696973558
139,Sanming,26.2486,117.6186,18.57,96,100,1.15,CN,1696973558
140,Beira,-19.8436,34.8389,24.2,81,76,4.69,MZ,1696973559
141,Ribeira Grande,38.5167,-28.7,21.54,86,67,8.49,PT,1696973560
142,Ulety,51.3572,112.4849,4.9,91,72,1.42,RU,1696973561
143,Utrik,11.2278,169.8474,28.03,71,94,6.86,MH,1696973561
144,Nizhny Tagil,57.9194,59.965,4.57,94,100,2.3,RU,1696973475
145,São Felipe,-14.8167,-41.3833,28.35,38,4,2.82,BR,1696973561
146,Aktau,43.65,51.2,11.32,56,100,4.08,KZ,1696973562
147,Alice Springs,-23.7,133.8833,8.75,31,0,2.57,AU,1696973562
148,Island Harbour,50.724,-1.2758,16.63,91,73,3.13,GB,1696973562
149,Barra de Santo Antônio,-9.4047,-35.5072,25.6,81,67,3.3,BR,1696973563
150,Carahue,-38.7,-73.1667,9.7,64,28,3.38,CL,1696973563
151,Bismarck,46.8083,-100.7837,16.47,47,0,4.12,US,1696973563
152,La Bañeza,42.3003,-5.8977,21.31,36,38,1.36,ES,1696973564
153,Misratah,32.3754,15.0925,23.94,65,0,2.72,LY,1696973564
154,Indramayu,-6.3264,108.32,25.73,68,24,3.53,ID,1696973564
155,Kargasok,59.0556,80.8572,11.65,77,100,4.02,RU,1696973565
156,Spearfish,44.4908,-103.8594,23.4,36,0,6.17,US,1696973565
157,Oneonta,42.4529,-75.0638,12.94,61,100,1.51,US,1696973565
158,Bokoro,12.3807,17.0568,32.24,33,95,3.32,TD,1696973566
159,Whitehorse,60.7161,-135.0538,9.43,59,75,4.63,CA,1696973566
160,Hammerfest,70.6634,23.6821,-2.75,80,20,1.54,NO,1696973567
161,Saddiqabad,28.3062,70.1307,25.39,14,0,3.4,PK,1696973567
162,Qaqortoq,60.7167,-46.0333,4.98,61,100,1.98,GL,1696973567
163,Codrington,-38.2667,141.9667,14.92,58,5,5.2,AU,1696973568
164,Dhidhdhoo,6.8833,73.1,27.68,75,100,2.9,MV,1696973568
165,Stanley,54.868,-1.6985,17.09,83,40,6.17,GB,1696973568
166,Cidreira,-30.1811,-50.2056,18.26,86,0,10.37,BR,1696973569
167,Jaisalmer,26.9147,70.9181,27.12,67,0,4.8,IN,1696973569
168,Machico,32.7,-16.7667,26.67,48,20,1.03,PT,1696973569
169,Puerto Deseado,-47.7503,-65.8938,5.81,49,81,8.69,AR,1696973570
170,Mandaguaçu,-23.3472,-52.0953,29.78,37,0,3.6,BR,1696973570
171,Rancho Palos Verdes,33.7445,-118.387,26.34,75,40,4.63,US,1696973469
172,Louisville,38.2542,-85.7594,20.59,36,0,5.14,US,1696973427
173,Darłowo,54.421,16.4107,12.53,89,100,7.22,PL,1696973571
174,Gao,16.6362,1.637,31.37,13,2,5.15,ML,1696973572
175,Zima,53.9202,102.0442,6.33,82,5,2.84,RU,1696973572
176,Aasiaat,68.7098,-52.8699,-1.8,96,100,4.59,GL,1696973572
177,Tindouf,27.6711,-8.1474,27.25,21,0,2.06,DZ,1696973573
178,Punta Arenas,-53.15,-70.9167,5.06,70,75,9.77,CL,1696973420
179,San Andrés,12.5847,-81.7006,31.01,74,40,3.09,CO,1696973309
180,Amlapura,-8.45,115.6167,23.38,86,44,1.71,ID,1696973573
181,Teguise,29.0605,-13.564,22.12,64,0,2.06,ES,1696973574
182,Boende,-0.2167,20.8667,20.59,99,99,0.68,CD,1696973574
183,Bad Frankenhausen,51.35,11.1,18.17,67,90,0.45,DE,1696973574
184,Susuman,62.7833,148.1667,-15.01,98,85,0.27,RU,1696973575
185,Flying Fish Cove,-10.4217,105.6791,24.82,94,100,3.09,CX,1696973575
186,Peterhead,57.5058,-1.7981,14.22,80,100,10.78,GB,1696973563
187,Katsuura,35.1333,140.3,18.9,73,55,5.84,JP,1696973576
188,Malindi,-3.2175,40.1191,25.23,83,11,5.52,KE,1696973368
189,Lā‘ie,21.6477,-157.9253,30.98,63,91,3.58,US,1696973576
190,Sabang,5.8933,95.3214,27.29,76,98,3.14,ID,1696973576
191,Coquimbo,-29.9533,-71.3436,15.85,72,20,5.66,CL,1696973209
192,Rawson,-43.3002,-65.1023,7.44,51,52,9.9,AR,1696973577
193,Killarney,52.05,-9.5167,15.34,94,100,1.88,IE,1696973577
194,Katima Mulilo,-17.5,24.2667,28.37,18,4,4.7,NA,1696973577
195,Aoulef,26.9667,1.0833,28.54,16,77,8.2,DZ,1696973578
196,Illizi,26.4833,8.4667,24.89,25,2,6.96,DZ,1696973578
197,Mogoytuy,51.2833,114.9167,4.35,84,6,2.04,RU,1696973578
198,Touros,-5.1989,-35.4608,25.77,75,64,6.96,BR,1696973345
199,Kyren,51.6828,102.1408,7.75,75,0,0.89,RU,1696973579
200,Trashi Yangtse,27.6116,91.498,13.71,93,54,1.73,BT,1696973579
201,Zelenoborskiy,66.845,32.3622,-3.52,69,44,1.44,RU,1696973579
202,Mangochi,-14.4782,35.2645,26.35,41,1,1.22,MW,1696973580
203,Shimoda,34.6667,138.95,19.82,68,98,6.0,JP,1696973580
204,Stephenville,32.2207,-98.2023,26.8,53,100,5.14,US,1696973429
205,Keta,5.9179,0.9879,27.12,85,44,3.8,GH,1696973581
206,East London,-33.0153,27.9116,17.77,89,100,6.72,ZA,1696973581
207,Port-Vila,-17.7338,168.3219,23.78,69,75,5.14,VU,1696973541
208,Sungai Udang,2.269,102.1427,24.93,94,20,0.0,MY,1696973446
209,Yellowknife,62.456,-114.3525,14.67,75,40,5.14,CA,1696973454
210,Ketchikan,55.3422,-131.6461,14.26,67,40,5.66,US,1696973582
211,Kirensk,57.7853,108.1119,7.23,94,100,2.24,RU,1696973582
212,Garachiko,28.7781,-17.7646,28.05,73,0,0.51,ES,1696973583
213,Cavalaire-sur-Mer,43.174,6.5272,18.9,77,2,3.32,FR,1696973583
214,Port Mathurin,-19.6833,63.4167,23.29,77,55,6.33,MU,1696973583
215,Gandajika,-6.75,23.95,19.49,91,100,1.79,CD,1696973584
216,Izberbash,42.5696,47.8645,13.03,79,100,0.64,RU,1696973584
217,Pisco,-13.7,-76.2167,22.03,68,0,8.75,PE,1696973585
218,Waldmünchen,49.3786,12.7042,15.18,95,54,2.22,DE,1696973585
219,Margaret River,-33.95,115.0667,13.08,59,53,5.95,AU,1696973585
220,Alofi,-19.0595,-169.9187,24.94,61,75,6.69,NU,1696973586
221,Bojnourd,37.4747,57.329,12.97,76,0,1.03,IR,1696973586
222,Praia da Vitória,38.7333,-27.0667,22.14,73,20,9.14,PT,1696973586
223,Jamaame,0.0697,42.745,25.63,76,49,5.01,SO,1696973587
224,Suva,-18.1416,178.4415,24.71,61,75,4.12,FJ,1696973587
225,Carnarvon,-24.8667,113.6333,18.94,63,4,11.45,AU,1696973588
226,Diffa,13.3154,12.6113,31.92,25,32,3.44,NE,1696973588
227,Tual,-5.6667,132.75,26.21,80,82,7.74,ID,1696973588
228,Rāzole,16.4833,81.8333,24.69,88,0,1.04,IN,1696973589
229,Inhambane,-23.865,35.3833,22.52,77,52,5.04,MZ,1696973589
230,North Bend,43.4065,-124.2243,19.4,88,100,6.17,US,1696973589
231,Margate,51.3813,1.3862,16.04,85,100,1.79,GB,1696973475
232,Tionk Essil,12.7856,-16.5217,27.98,86,100,0.97,SN,1696973590
233,Camocim,-2.9022,-40.8411,26.35,78,0,6.95,BR,1696973591
234,Makarska,43.2969,17.0178,21.89,60,59,2.5,HR,1696973591
235,Chernyshevskiy,63.0128,112.4714,8.27,88,100,5.78,RU,1696973591
236,Buala,-8.145,159.5921,28.58,80,99,3.76,SB,1696973591
237,Turpan,42.9333,89.1667,21.32,25,100,1.37,CN,1696973592
238,Lodja,-3.4833,23.4333,19.87,100,98,0.34,CD,1696973592
239,Westhill,57.1526,-2.2797,12.69,82,75,4.12,GB,1696973593
240,Poso,-1.3959,120.7524,25.41,72,55,2.73,ID,1696973593
241,Bereket,39.2446,55.5154,16.26,32,66,6.26,TM,1696973593
242,Port Alfred,-33.5906,26.891,16.77,96,100,2.24,ZA,1696973594
243,San Julián,21.0167,-102.1667,15.96,77,74,4.36,MX,1696973594
244,Chebba,35.2372,11.115,23.57,72,0,3.56,TN,1696973594
245,Tura,25.5198,90.2201,21.52,89,1,1.14,IN,1696973595
246,Atafu Village,-8.5421,-172.5159,28.79,75,87,4.46,TK,1696973595
247,Okhotsk,59.3833,143.3,2.29,91,100,2.57,RU,1696973596
248,Rongelap,11.1635,166.8941,28.37,70,87,6.43,MH,1696973596
249,Saint Paul,44.9444,-93.0933,15.78,39,0,3.6,US,1696973439
250,Amga,60.8953,131.9608,2.77,98,100,3.13,RU,1696973597
251,Selfoss,63.9331,-20.9971,3.91,78,16,14.75,IS,1696973597
252,Kulhudhuffushi,6.6221,73.07,27.48,77,95,3.27,MV,1696973598
253,Kalmunai,7.4167,81.8167,25.16,88,79,5.1,LK,1696973598
254,Mahibadhoo,3.7833,72.9667,28.18,75,94,6.57,MV,1696973598
255,Mil’kovo,55.6078,37.7956,0.75,86,53,3.62,RU,1696973598
256,La Santisima Trinidad,-14.8333,-64.9,36.99,39,20,5.14,BO,1696973599
257,Nafada,11.0956,11.3327,29.43,32,15,0.65,NG,1696973599
258,Markovo,57.3206,107.0881,6.01,93,100,2.11,RU,1696973599
259,Nadi,-17.8,177.4167,25.0,57,40,4.63,FJ,1696973600
260,Colonia Menno,-22.3667,-59.8167,38.89,23,16,7.75,PY,1696973600
261,Dongying,37.4564,118.4856,14.89,71,3,1.66,CN,1696973600
262,Eforie Sud,44.0229,28.6494,8.45,45,18,4.13,RO,1696973601
263,Kruisfontein,-34.0033,24.7314,15.49,94,99,2.49,ZA,1696973601
264,Byron Bay,-28.65,153.6167,21.17,60,24,1.34,AU,1696973477
265,Kristinestad,62.2743,21.376,5.05,79,100,9.53,FI,1696973601
266,Sinabang,2.4803,96.3801,25.28,88,99,2.81,ID,1696973602
267,Hola,51.5377,23.1902,3.1,61,30,3.29,PL,1696973602
268,Lumut,4.2323,100.6298,25.01,94,20,0.0,MY,1696973602
269,Elkins,38.9259,-79.8467,16.27,60,0,4.12,US,1696973473
270,Nema,57.5067,50.5011,3.76,96,100,2.37,RU,1696973603
271,Kapaa,22.0752,-159.319,28.99,73,20,4.63,US,1696973603
272,Andergrove,-21.0833,149.1833,21.47,70,9,5.64,AU,1696973604
273,Fada,9.5667,8.3,21.42,93,54,0.59,NG,1696973604
274,São Paulo de Olivença,-3.3783,-68.8725,29.59,59,79,0.94,BR,1696973604
275,Hithadhoo,-0.6,73.0833,27.36,75,98,7.44,MV,1696973605
276,Fort Drum,44.0584,-75.7619,11.33,71,100,6.17,US,1696973605
277,Klyuchi,52.2667,79.1667,15.14,53,100,5.64,RU,1696973605
278,Dunedin,-45.8742,170.5036,11.56,46,19,2.24,NZ,1696973606
279,Usinsk,65.9939,57.5281,2.26,76,100,10.73,RU,1696973606
